Time,LAT,LON,SOG,COG,HDG,ROT,Status,Risk,AvoidFlag,Accident,WindSpeed[m/s],WindDir[deg],WaveHeight[m],WaveDir[deg],CurrentDrift[m/s],CurrentSet[deg],CRudCmd[deg],CRudder[deg],CEngCmd,CEngine
2026-07-23T00:00:00.000Z,35.050000,129.100000,0.0,45.0,47.5,0.09,auto,0.10,0,0,6.0,200.0,0.8,218.0,0.50,30.0,12.0,11.9,0,0
2026-07-23T00:00:10.000Z,35.050000,129.100000,0.6,45.9,48.4,0.09,auto,0.10,0,0,6.0,200.1,0.8,218.0,0.50,30.1,12.0,11.9,5,5
2026-07-23T00:00:20.000Z,35.050021,129.100026,1.3,46.8,49.3,0.09,auto,0.10,0,0,6.0,200.1,0.8,218.0,0.50,30.1,12.0,11.9,10,10
2026-07-23T00:00:30.000Z,35.050061,129.100079,1.9,47.7,50.2,0.09,auto,0.10,0,0,6.0,200.2,0.8,218.0,0.50,30.2,12.0,12.0,15,15
2026-07-23T00:00:40.000Z,35.050121,129.100159,2.6,48.7,51.1,0.09,auto,0.10,0,0,6.0,200.2,0.8,218.0,0.50,30.2,11.9,12.0,20,20
2026-07-23T00:00:50.000Z,35.050199,129.100268,3.2,49.6,52.0,0.09,auto,0.10,0,0,6.0,200.3,0.8,218.0,0.50,30.3,11.9,12.0,26,25
2026-07-23T00:01:00.000Z,35.050295,129.100405,3.8,50.5,52.9,0.09,auto,0.10,0,0,6.1,200.3,0.8,218.0,0.50,30.3,11.9,12.0,31,30
2026-07-23T00:01:10.000Z,35.050408,129.100573,4.5,51.4,53.8,0.09,auto,0.10,0,0,6.1,200.4,0.8,218.0,0.50,30.4,11.8,12.0,36,35
2026-07-23T00:01:20.000Z,35.050537,129.100770,5.1,52.3,54.7,0.09,auto,0.10,0,0,6.1,200.4,0.8,218.0,0.50,30.4,11.7,12.0,41,40
2026-07-23T00:01:30.000Z,35.050682,129.100999,5.8,53.2,55.6,0.09,auto,0.10,0,0,6.1,200.5,0.8,218.0,0.50,30.5,11.7,12.0,46,45
2026-07-23T00:01:40.000Z,35.050842,129.101260,6.4,54.1,56.5,0.09,auto,0.10,0,0,6.1,200.5,0.8,218.0,0.50,30.6,11.6,11.9,51,50
2026-07-23T00:01:50.000Z,35.051016,129.101552,7.0,54.9,57.3,0.09,auto,0.10,0,0,6.1,200.6,0.8,218.0,0.50,30.6,11.5,11.9,56,55
2026-07-23T00:02:00.000Z,35.051203,129.101878,7.7,55.8,58.2,0.08,auto,0.11,0,0,6.1,200.6,0.8,218.0,0.50,30.7,11.4,11.8,62,60
2026-07-23T00:02:10.000Z,35.051402,129.102237,8.3,56.7,59.0,0.08,auto,0.11,0,0,6.1,200.7,0.8,218.0,0.50,30.7,11.3,11.8,67,65
2026-07-23T00:02:20.000Z,35.051614,129.102630,9.0,57.5,59.9,0.08,auto,0.11,0,0,6.1,200.7,0.8,218.0,0.50,30.8,11.2,11.7,72,70
2026-07-23T00:02:30.000Z,35.051836,129.103057,9.6,58.4,60.7,0.08,auto,0.11,0,0,6.1,200.8,0.8,218.0,0.50,30.8,11.1,11.6,77,75
2026-07-23T00:02:40.000Z,35.052069,129.103519,10.3,59.2,61.5,0.08,auto,0.11,0,0,6.2,200.8,0.8,218.0,0.50,30.9,11.0,11.6,82,80
2026-07-23T00:02:50.000Z,35.052311,129.104017,10.9,60.1,62.3,0.08,auto,0.11,0,0,6.2,200.9,0.8,218.0,0.50,31.0,10.8,11.5,87,85
2026-07-23T00:03:00.000Z,35.052563,129.104550,11.5,60.9,63.1,0.08,auto,0.11,0,0,6.2,200.9,0.8,218.0,0.50,31.0,10.7,11.4,92,90
2026-07-23T00:03:10.000Z,35.052822,129.105119,11.5,61.7,63.9,0.08,auto,0.11,0,0,6.2,201.0,0.8,218.0,0.50,31.1,10.5,11.3,92,89
2026-07-23T00:03:20.000Z,35.053074,129.105691,11.5,62.5,64.7,0.08,auto,0.11,0,0,6.2,201.0,0.8,218.0,0.50,31.1,10.4,11.2,92,89
2026-07-23T00:03:30.000Z,35.053319,129.106266,11.5,63.3,65.4,0.07,auto,0.11,0,0,6.2,201.1,0.8,218.0,0.50,31.2,10.2,11.1,92,89
2026-07-23T00:03:40.000Z,35.053558,129.106844,11.4,64.1,66.2,0.07,auto,0.11,0,0,6.2,201.1,0.8,217.9,0.50,31.2,10.1,10.9,92,89
2026-07-23T00:03:50.000Z,35.053789,129.107425,11.4,64.8,66.9,0.07,auto,0.11,0,0,6.2,201.2,0.8,217.9,0.50,31.3,9.9,10.8,91,89
2026-07-23T00:04:00.000Z,35.054013,129.108008,11.4,65.6,67.6,0.07,auto,0.11,0,0,6.2,201.3,0.8,217.9,0.50,31.3,9.7,10.7,91,88
2026-07-23T00:04:10.000Z,35.054231,129.108593,11.4,66.3,68.3,0.07,auto,0.11,0,0,6.2,201.3,0.8,217.9,0.50,31.4,9.5,10.5,91,88
2026-07-23T00:04:20.000Z,35.054442,129.109181,11.3,67.0,69.0,0.07,auto,0.11,0,0,6.3,201.4,0.8,217.9,0.50,31.5,9.3,10.3,91,88
2026-07-23T00:04:30.000Z,35.054646,129.109771,11.3,67.7,69.6,0.06,auto,0.11,0,0,6.3,201.4,0.8,217.9,0.50,31.5,9.1,10.2,91,88
