timestamp,id,shipname,shiptype,shiplength[m],shipbeam[m],lat,lon,yaw[deg],turningrate[deg/s],tugenable
2026-07-23T00:00:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.067728,129.089322,135.0,0.00,0
2026-07-23T00:00:05.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.065081,129.092555,135.0,0.00,0
2026-07-23T00:00:10.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.062434,129.095789,135.0,0.00,0
2026-07-23T00:00:15.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.059787,129.099022,135.0,0.00,0
2026-07-23T00:00:20.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.057140,129.102255,135.0,0.00,0
2026-07-23T00:00:25.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.054493,129.105489,135.0,0.00,0
2026-07-23T00:00:30.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.051846,129.108722,135.0,0.00,0
2026-07-23T00:00:35.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.049200,129.111956,135.0,0.00,0
2026-07-23T00:00:40.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.046553,129.115189,135.0,0.00,0
2026-07-23T00:00:45.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.043906,129.118422,135.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.041259,129.121656,135.0,0.00,0
2026-07-23T00:00:55.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.038612,129.124889,135.0,0.00,0
2026-07-23T00:01:00.000Z,traffic_1,NORTHSTAR,화물선,180,28,35.035965,129.128123,135.0,0.00,0
2026-07-23T00:00:00.000Z,traffic_2,BLUEWAVE,어선,32,7,35.075881,129.131614,225.0,0.00,0
2026-07-23T00:00:05.000Z,traffic_2,BLUEWAVE,어선,32,7,35.074917,129.130437,225.0,0.00,0
2026-07-23T00:00:10.000Z,traffic_2,BLUEWAVE,어선,32,7,35.073953,129.129259,225.0,0.00,0
